ENSG	HUGO	GAF	GENCODE
ENSG00000043591	ADRB1	ADRB1|153	ENSG00000043591.5
ENSG00000044012	GUCA2B	GUCA2B|2981	ENSG00000044012.3
ENSG00000044090	CUL7	CUL7|9820	ENSG00000044090.8
ENSG00000044115	CTNNA1	CTNNA1|1495	ENSG00000044115.20
ENSG00000044446	PHKA2	PHKA2|5256	ENSG00000044446.11
ENSG00000044459	CNTLN	CNTLN|54875	ENSG00000044459.14
ENSG00000044524	EPHA3	EPHA3|2042	ENSG00000044524.10
ENSG00000044574	HSPA5	HSPA5|3309	ENSG00000044574.7
ENSG00000046604	DSG2	DSG2|1829	ENSG00000046604.12
ENSG00000046647	GEMIN8	GEMIN8|54960	ENSG00000046647.13
ENSG00000046651	OFD1	OFD1|8481	ENSG00000046651.14
ENSG00000046653	GPM6B	GPM6B|2824	ENSG00000046653.14
ENSG00000046774	MAGEC2	MAGEC2|51438	ENSG00000046774.9
ENSG00000046889	PREX2	PREX2|80243	ENSG00000046889.18
ENSG00000047056	WDR37	WDR37|22884	ENSG00000047056.14
ENSG00000047188	YTHDC2	YTHDC2|64848	ENSG00000047188.15
ENSG00000047230	CTPS2	CTPS2|56474	ENSG00000047230.14
ENSG00000047249	ATP6V1H	ATP6V1H|51606	ENSG00000047249.16
ENSG00000047315	POLR2B	POLR2B|5431	ENSG00000047315.14
ENSG00000047346	FAM214A	KIAA1370|56204	ENSG00000047346.12
ENSG00000047365	ARAP2	ARAP2|116984	ENSG00000047365.11
ENSG00000047410	TPR	TPR|7175	ENSG00000047410.13
ENSG00000047457	CP	CP|1356	ENSG00000047457.13
ENSG00000047578	KIAA0556	KIAA0556|23247	ENSG00000047578.12
ENSG00000047579	DTNBP1	DTNBP1|84062	ENSG00000047579.19
ENSG00000047597	XK	XK|7504	ENSG00000047597.5
